feature,period,target,tree_importance,boruta_keep,linear_coef,shap_value,tft_vsn_importance,tree_rank,linear_rank,boruta_score,score_embedded
williams_r_mm30,1d,target_max_drawdown,0.00044678099220618606,0.0,0.0,0.0,0.0,116.0,106.5,0.0,0.3909952606635071
tsi_mm30,1d,target_max_drawdown,0.0002769468119367957,0.1,0.0,0.0,0.0,160.0,106.5,0.1,0.36928909952606637
ichimoku_conv_mm30,1d,target_max_drawdown,0.000991158070974052,0.1,0.0,0.0,0.0,47.0,106.5,0.1,0.4763981042654029
ichimoku_base_mm30,1d,target_max_drawdown,0.0001598039671080187,0.0,0.0,0.0,0.0,174.0,106.5,0.0,0.33601895734597154
ichimoku_span_a_mm30,1d,target_max_drawdown,0.0002481484552845359,0.1,0.0,0.0,0.0,164.0,106.5,0.1,0.36549763033175353
ichimoku_span_b_mm30,1d,target_max_drawdown,0.00019624375272542238,0.25,0.0,0.0,0.0,169.0,106.5,0.25,0.39075829383886257
cloud_thickness_mm30,1d,target_max_drawdown,0.0009236180339939892,0.15,0.0,0.0,0.0,55.0,106.5,0.15,0.4788151658767772
supertrend_10_3_mm30,1d,target_max_drawdown,0.0010233285138383508,0.25,0.0,0.0,0.0,45.0,106.5,0.25,0.5082938388625593
heikin_ashi_trend_mm30,1d,target_max_drawdown,0.0003944464842788875,0.0,0.0,0.0,0.0,132.0,106.5,0.0,0.3758293838862559
ret_skew_30d_mm30,1d,target_max_drawdown,0.000780017115175724,0.15,0.0,0.0,0.0,67.0,106.5,0.15,0.46744075829383885
ret_kurt_30d_mm30,1d,target_max_drawdown,0.00045244002831168473,0.0,0.0,0.0,0.0,112.0,106.5,0.0,0.39478672985781993
var_95_30d_mm30,1d,target_max_drawdown,0.0009890313958749175,0.3,0.0,0.0,0.0,48.0,106.5,0.3,0.5154502369668247
cvar_95_30d_mm30,1d,target_max_drawdown,0.0003452158998697996,0.25,0.0,0.0,0.0,145.0,106.5,0.25,0.41350710900473936
z_score_gap_mm30,1d,target_max_drawdown,0.0003244046529289335,0.0,0.0,0.0,0.0,149.0,106.5,0.0,0.35971563981042654
engulfing_up_cnt_20_mm30,1d,target_max_drawdown,0.0001240960555151105,0.1,0.0,0.0,0.0,178.0,106.5,0.1,0.3522274881516588
doji_ratio_20_mm30,1d,target_max_drawdown,0.00013323083112481982,0.1,0.0,0.0,0.0,176.0,106.5,0.1,0.3541232227488152
hammer_cnt_20_mm30,1d,target_max_drawdown,0.0007558527286164463,0.45,0.0,0.0,0.0,73.0,106.5,0.45,0.5217535545023697
cmf_mm30,1d,target_max_drawdown,0.00037719198735430837,0.0,0.0,0.0,0.0,137.0,106.5,0.0,0.37109004739336493
price_volume_corr_20_mm30,1d,target_max_drawdown,0.0003969097160734236,0.0,0.0,0.0,0.0,131.0,106.5,0.0,0.3767772511848341
price_position_ma200_mm30,1d,target_max_drawdown,0.003762358333915472,0.95,0.0,0.0,0.0,14.0,106.5,0.95,0.6776777251184833
beta_btc_60d_mm30,1d,target_max_drawdown,0.0007894978043623269,0.0,0.0,0.0,0.0,66.0,106.5,0.0,0.4383886255924171
distance_to_pivot_mm30,1d,target_max_drawdown,0.0005973646184429526,0.05,0.0,0.0,0.0,87.0,106.5,0.05,0.42848341232227494
