feature,coverage,variance,keep,cluster_rep
volume_relative_20_zn30,1.0,1.3270257211988707,True,volume_relative_20_zn30
obv_zn30,1.0,2.3218945483123967,True,obv_zn30
atr_zn30,1.0,2.2379576277737847,True,atr_zn30
amplitude_range_zn30,1.0,1.3608352595219675,True,amplitude_range_zn30
atr_slope_zn30,1.0,1.302633449747519,True,atr_slope_zn30
trendline_slope_20_zn30,1.0,2.1521451680707213,True,trendline_slope_20_zn30
ma_diff_5_20_zn30,1.0,1.9928856394437073,True,ma_diff_5_20_zn30
cci_zn30,1.0,1.6543116462602487,True,cci_zn30
adx_scaled_zn30,1.0,2.458875688774448,True,adx_scaled_zn30
vwap_zn30,1.0,1.6286986080277601,True,vwap_zn30
obv_diff1_zn30,1.0,1.2469909455687973,True,obv_diff1_zn30
obv_pct_zn30,1.0,1.2581136957329224,True,obv_pct_zn30
obv_slope_14_zn30,1.0,1.9421629850667494,True,obv_slope_14_zn30
trend_flag_zn30,1.0,1.5771113828125563,True,trend_flag_zn30
range_flag_zn30,1.0,0.3533247210491471,True,range_flag_zn30
high_vol_flag_zn30,1.0,0.17669209611453093,True,high_vol_flag_zn30
stress_flag_zn30,1.0,0.012187639847625257,True,stress_flag_zn30
donchian_high_20_zn30,1.0,3.1391577295216613,False,resistance_level_20_zn30
donchian_low_20_zn30,1.0,3.0348291490637966,False,support_level_20_zn30
keltner_upper_20_zn30,1.0,3.0109367786687478,True,keltner_upper_20_zn30
keltner_lower_20_zn30,1.0,2.9187798687226603,True,keltner_lower_20_zn30
squeeze_on_zn30,1.0,0.8799900461872299,True,squeeze_on_zn30
ppo_zn30,1.0,2.4621198698355293,True,ppo_zn30
stoch_rsi_zn30,1.0,1.3684703093901003,True,stoch_rsi_zn30
williams_r_zn30,1.0,1.5383856054193736,True,williams_r_zn30
tsi_zn30,1.0,2.450908661503074,False,ppo_zn30
ichimoku_conv_zn30,1.0,2.609473067110065,True,ichimoku_conv_zn30
ichimoku_base_zn30,1.0,2.931800971697305,True,ichimoku_base_zn30
ichimoku_span_a_zn30,1.0,2.869934841340439,True,ichimoku_span_a_zn30
ichimoku_span_b_zn30,1.0,3.423951985459093,True,ichimoku_span_b_zn30
cloud_thickness_zn30,1.0,2.6040377670708525,True,cloud_thickness_zn30
psar_zn30,1.0,1.9597402591582531,True,psar_zn30
psar_flip_flag_zn30,1.0,0.534661288534888,True,psar_flip_flag_zn30
supertrend_10_3_zn30,1.0,2.1710380864432657,True,supertrend_10_3_zn30
heikin_ashi_trend_zn30,1.0,1.293168554891806,True,heikin_ashi_trend_zn30
ret_skew_30d_zn30,1.0,2.456894709677026,True,ret_skew_30d_zn30
ret_kurt_30d_zn30,1.0,2.3015730849407694,True,ret_kurt_30d_zn30
var_95_30d_zn30,1.0,2.7022757547338765,True,var_95_30d_zn30
cvar_95_30d_zn30,1.0,2.9629358750552792,True,cvar_95_30d_zn30
z_score_gap_zn30,1.0,1.1746568153847539,True,z_score_gap_zn30
engulfing_up_cnt_20_zn30,1.0,1.9593403720921745,True,engulfing_up_cnt_20_zn30
doji_ratio_20_zn30,1.0,1.9963278090159036,True,doji_ratio_20_zn30
hammer_cnt_20_zn30,1.0,1.8947235523017518,True,hammer_cnt_20_zn30
mfi_zn30,1.0,1.8052750354321114,True,mfi_zn30
cmf_zn30,1.0,1.85572507276992,True,cmf_zn30
price_volume_corr_20_zn30,1.0,2.1406008682760422,True,price_volume_corr_20_zn30
price_position_ma200_zn30,1.0,2.230333873965767,True,price_position_ma200_zn30
beta_btc_60d_zn30,1.0,2.1380075017915257,True,beta_btc_60d_zn30
pivot_point_zn30,1.0,2.274736769281076,False,pivot_point_zn30
distance_to_pivot_zn30,1.0,1.2007529736762315,True,distance_to_pivot_zn30
volume_profile_hvn_zn30,1.0,1.369402812490247,True,volume_profile_hvn_zn30
volume_profile_lvn_zn30,1.0,1.2295338541473804,True,volume_profile_lvn_zn30
hour_sin_zn30,1.0,0.8362474336905588,False,hour_sin_zn30
hour_cos_zn30,1.0,0.8363984901147746,False,hour_cos_zn30
dow_sin_zn30,1.0,2.4461733664980874,True,dow_sin_zn30
dow_cos_zn30,1.0,2.288164647631503,True,dow_cos_zn30
open_mm30,1.0,0.1131793737359686,False,pivot_point_mm30
high_mm30,1.0,0.11786748375922251,True,high_mm30
low_mm30,1.0,0.1133726997599977,True,low_mm30
close_mm30,1.0,0.11318165669196353,False,close_mm30
ma5_mm30,1.0,0.1483417702684028,True,ma5_mm30
ma20_mm30,1.0,0.19296866309675134,True,ma20_mm30
boll_upper_mm30,1.0,0.16804263149130114,True,boll_upper_mm30
boll_lower_mm30,1.0,0.16808181351288676,True,boll_lower_mm30
support_level_20_mm30,1.0,0.20308444789396854,True,support_level_20_mm30
resistance_level_20_mm30,1.0,0.20245730043967466,True,resistance_level_20_mm30
distance_to_support_mm30,1.0,0.1101116914238444,True,distance_to_support_mm30
distance_to_resistance_mm30,1.0,0.10541196150913047,True,distance_to_resistance_mm30
volume_mm30,1.0,0.0653488064022058,True,volume_mm30
vol_ma_mm30,1.0,0.10625150813715918,True,vol_ma_mm30
volume_relative_20_mm30,1.0,0.06612553775415708,True,volume_relative_20_mm30
obv_mm30,1.0,0.111248351819296,True,obv_mm30
atr_mm30,1.0,0.13607050964405873,False,atr_zn30
amplitude_range_mm30,1.0,0.0641629201424654,True,amplitude_range_mm30
atr_slope_mm30,1.0,0.05716303619097506,True,atr_slope_mm30
trendline_slope_20_mm30,1.0,0.13724312481068537,False,trendline_slope_20_zn30
ma_diff_5_20_mm30,1.0,0.12507375825334652,False,ma_diff_5_20_zn30
cci_mm30,1.0,0.09186849389523086,True,cci_mm30
adx_scaled_mm30,1.0,0.15532223661981676,True,adx_scaled_mm30
vwap_mm30,1.0,0.12154201962380648,True,vwap_mm30
obv_diff1_mm30,1.0,0.06805937149438082,True,obv_diff1_mm30
obv_pct_mm30,1.0,0.06826708414990464,True,obv_pct_mm30
obv_slope_14_mm30,1.0,0.12150771564096058,True,obv_slope_14_mm30
trend_flag_mm30,1.0,0.22781182645445847,True,trend_flag_mm30
range_flag_mm30,1.0,0.03610876050827903,False,range_flag
high_vol_flag_mm30,1.0,0.013925699604118151,False,high_vol_flag
stress_flag_mm30,1.0,0.00046853759433741147,False,stress_flag
donchian_high_20_mm30,1.0,0.20245730043967466,False,resistance_level_20_mm30
donchian_low_20_mm30,1.0,0.20308444789396854,False,support_level_20_mm30
keltner_upper_20_mm30,1.0,0.1891835124188643,True,keltner_upper_20_mm30
keltner_lower_20_mm30,1.0,0.18396375183082395,True,keltner_lower_20_mm30
squeeze_on_mm30,1.0,0.0977308359766494,False,squeeze_on
ppo_mm30,1.0,0.15207334647079845,False,ppo_zn30
stoch_rsi_mm30,1.0,0.13819187108884587,True,stoch_rsi_mm30
williams_r_mm30,1.0,0.10045521910955071,True,williams_r_mm30
tsi_mm30,1.0,0.15283093407160114,False,ppo_zn30
ichimoku_conv_mm30,1.0,0.1632953457442769,True,ichimoku_conv_mm30
ichimoku_base_mm30,1.0,0.20230861074756423,True,ichimoku_base_mm30
ichimoku_span_a_mm30,1.0,0.18097916005801926,True,ichimoku_span_a_mm30
ichimoku_span_b_mm30,1.0,0.22480355569276214,True,ichimoku_span_b_mm30
cloud_thickness_mm30,1.0,0.1693175462839516,True,cloud_thickness_mm30
psar_mm30,1.0,0.11933578653502519,False,psar_zn30
psar_flip_flag_mm30,1.0,0.02085860140294916,False,psar_flip_flag
supertrend_10_3_mm30,1.0,0.12091242868580292,True,supertrend_10_3_mm30
heikin_ashi_trend_mm30,1.0,0.0653606826217011,True,heikin_ashi_trend_mm30
ret_skew_30d_mm30,1.0,0.13425825656114027,True,ret_skew_30d_mm30
ret_kurt_30d_mm30,1.0,0.12401411321261009,True,ret_kurt_30d_mm30
var_95_30d_mm30,1.0,0.17548664785730125,True,var_95_30d_mm30
cvar_95_30d_mm30,1.0,0.19156477401493588,True,cvar_95_30d_mm30
z_score_gap_mm30,1.0,0.08626625896163681,True,z_score_gap_mm30
engulfing_up_cnt_20_mm30,1.0,0.1673602143385016,True,engulfing_up_cnt_20_mm30
doji_ratio_20_mm30,1.0,0.16150536175648877,True,doji_ratio_20_mm30
hammer_cnt_20_mm30,1.0,0.12213693747758893,True,hammer_cnt_20_mm30
mfi_mm30,1.0,0.10541560756650478,True,mfi_mm30
cmf_mm30,1.0,0.1004209520553995,True,cmf_mm30
price_volume_corr_20_mm30,1.0,0.13015580235499838,True,price_volume_corr_20_mm30
price_position_ma200_mm30,1.0,0.117939472120228,True,price_position_ma200_mm30
beta_btc_60d_mm30,1.0,0.17084922667028163,True,beta_btc_60d_mm30
pivot_point_mm30,1.0,0.12122950187946972,False,pivot_point_mm30
distance_to_pivot_mm30,1.0,0.0598769417955194,True,distance_to_pivot_mm30
volume_profile_hvn_mm30,1.0,0.16501152773354794,True,volume_profile_hvn_mm30
volume_profile_lvn_mm30,1.0,0.15902049304757526,True,volume_profile_lvn_mm30
hour_sin_mm30,1.0,0.13681593403650916,True,hour_sin_mm30
hour_cos_mm30,1.0,0.1287761907953384,True,hour_cos_mm30
dow_sin_mm30,1.0,0.21912281312298418,True,dow_sin_mm30
dow_cos_mm30,1.0,0.22621764489724364,True,dow_cos_mm30
_orig_idx,1.0,158948811.8965061,True,_orig_idx
_orig_ts,1.0,1.0605957141465208e+20,False,us_m2_supply_bitcoin_bitcoin_vs_us_m2_growth
rolling_volatility,1.0,5.9847097157355896e-05,True,rolling_volatility
parkinson_volatility,1.0,1.4898076328843486e-06,False,rolling_volatility
ewmavolatility,1.0,6.586587953955961e-05,True,ewmavolatility
return_skewness,1.0,0.8208995482401473,True,return_skewness
tail_bias_norm,1.0,0.48096609942297164,True,tail_bias_norm
logreturn_pct_rank,1.0,0.08329201668133225,True,logreturn_pct_rank
target_vol_jump_prob,0.9678125,0.07934185437052567,True,target_vol_jump_prob
target_realized_vol,0.9678125,3.8576452091611624,True,target_realized_vol
target_breakout_prob,0.9678125,0.01688310594918392,True,target_breakout_prob
funding_rate_oi_close,1.0,8.636698291492204e-05,False,funding_rate
funding_rate_vol_close,1.0,8.850397191932184e-05,False,funding_rate
oi_mean_oc,1.0,3.507398058115725e+16,True,oi_mean_oc
oi_vol,1.0,161862772529533.38,False,oi_mean_oc
oi_mean_oc_z,1.0,2.224312751726834,True,oi_mean_oc_z
long_short_ratio_ls_acc_global,1.0,1.081368882544161,False,long_percent_ls_acc_global
long_percent_ls_acc_global,1.0,118.45240078756075,True,long_percent_ls_acc_global
short_percent_ls_acc_global,1.0,118.45240078756073,False,long_percent_ls_acc_global
long_short_ratio_ls_acc_top,1.0,1.5549066392109399,False,long_percent_ls_acc_top
long_percent_ls_acc_top,1.0,119.02438558902753,True,long_percent_ls_acc_top
short_percent_ls_acc_top,1.0,119.02429702010099,False,long_percent_ls_acc_top
long_short_ratio_ls_pos_top,1.0,0.6717489259081196,False,long_percent_ls_pos_top
long_percent_ls_pos_top,1.0,77.2721927135971,True,long_percent_ls_pos_top
short_percent_ls_pos_top,1.0,77.2721927135971,False,long_percent_ls_pos_top
open_basis_futures_basis,1.0,0.0018206808276693559,True,open_basis_futures_basis
close_basis_futures_basis,1.0,0.001856173481902803,False,basis_z
open_change_futures_basis,1.0,305.00306940566037,True,open_change_futures_basis
