feature,coverage,variance,keep,cluster_rep
hour_cos_zn30,1.0,0.8395749882556621,False,hour_cos_zn30
dow_sin_zn30,1.0,2.452036457355879,True,dow_sin_zn30
dow_cos_zn30,1.0,2.294026861705389,True,dow_cos_zn30
open_mm30,1.0,0.11310714357839143,False,pivot_point_mm30
high_mm30,1.0,0.11726985258912863,True,high_mm30
low_mm30,1.0,0.110193765375082,True,low_mm30
close_mm30,1.0,0.11310621083462469,False,close_mm30
ma5_mm30,1.0,0.14951106113219553,True,ma5_mm30
ma20_mm30,1.0,0.19317140768451313,False,ma20_mm30
boll_upper_mm30,1.0,0.16877120362106937,True,boll_upper_mm30
boll_lower_mm30,1.0,0.16759193425305804,True,boll_lower_mm30
support_level_20_mm30,1.0,0.20086527350727215,True,support_level_20_mm30
resistance_level_20_mm30,1.0,0.20365049868195598,True,resistance_level_20_mm30
distance_to_support_mm30,1.0,0.10747847807538652,True,distance_to_support_mm30
distance_to_resistance_mm30,1.0,0.10402393679322688,True,distance_to_resistance_mm30
volume_mm30,1.0,0.0646476600669366,True,volume_mm30
vol_ma_mm30,1.0,0.10410061725128678,True,vol_ma_mm30
volume_relative_20_mm30,1.0,0.06542707492183879,True,volume_relative_20_mm30
obv_mm30,1.0,0.11040331066608662,True,obv_mm30
atr_mm30,1.0,0.13575353554108321,False,atr_zn30
amplitude_range_mm30,1.0,0.06198297802488286,True,amplitude_range_mm30
atr_slope_mm30,1.0,0.05579997702154994,True,atr_slope_mm30
trendline_slope_20_mm30,1.0,0.13839110310196498,False,trendline_slope_20_zn30
ma_diff_5_20_mm30,1.0,0.12391555243643299,False,ma_diff_5_20_zn30
cci_mm30,1.0,0.0902180879167919,True,cci_mm30
adx_scaled_mm30,1.0,0.15725268600547015,True,adx_scaled_mm30
vwap_mm30,1.0,0.23171620563562684,True,vwap_mm30
obv_diff1_mm30,1.0,0.06920957362366792,True,obv_diff1_mm30
obv_pct_mm30,1.0,0.06931503433463242,True,obv_pct_mm30
obv_slope_14_mm30,1.0,0.12026574554813814,True,obv_slope_14_mm30
trend_flag_mm30,1.0,0.23158691071750823,True,trend_flag_mm30
range_flag_mm30,1.0,0.03182661040214223,False,range_flag
high_vol_flag_mm30,1.0,0.009557721234749376,False,high_vol_flag
stress_flag_mm30,1.0,0.0008346842276991806,False,stress_flag
donchian_high_20_mm30,1.0,0.20365049868195598,False,resistance_level_20_mm30
donchian_low_20_mm30,1.0,0.20086527350727215,False,support_level_20_mm30
keltner_upper_20_mm30,1.0,0.1895283923628916,True,keltner_upper_20_mm30
keltner_lower_20_mm30,1.0,0.18395563733682307,True,keltner_lower_20_mm30
squeeze_on_mm30,1.0,0.11452040944021918,False,squeeze_on
ppo_mm30,1.0,0.15345327332465786,False,tsi_mm30
stoch_rsi_mm30,1.0,0.13591441109159413,True,stoch_rsi_mm30
williams_r_mm30,1.0,0.0969451660181176,True,williams_r_mm30
tsi_mm30,1.0,0.15481551125641205,True,tsi_mm30
ichimoku_conv_mm30,1.0,0.16275929299044556,True,ichimoku_conv_mm30
ichimoku_base_mm30,1.0,0.20055971386719487,True,ichimoku_base_mm30
ichimoku_span_a_mm30,1.0,0.18047908571209026,True,ichimoku_span_a_mm30
ichimoku_span_b_mm30,1.0,0.22452969756104052,True,ichimoku_span_b_mm30
cloud_thickness_mm30,1.0,0.168185680086556,True,cloud_thickness_mm30
psar_mm30,1.0,0.11985300275276305,False,psar_zn30
psar_flip_flag_mm30,1.0,0.019773796829979227,False,psar_flip_flag
