feature,period,target,tree_importance,boruta_keep,linear_coef,shap_value,tft_vsn_importance,tree_rank,linear_rank,boruta_score,score_embedded
price_volume_corr_20_zn30,1d,target_drawdown_prob,0.0009526119683869183,0.0,0.0,0.0,0.0,145.0,124.5,0.0,0.3834008097165992
price_position_ma200_zn30,1d,target_drawdown_prob,0.01664910838007927,0.0,0.0,0.0,0.0,10.0,124.5,0.0,0.49271255060728747
beta_btc_60d_zn30,1d,target_drawdown_prob,0.0017537774983793497,0.0,0.0,0.0,0.0,118.0,124.5,0.0,0.4052631578947368
distance_to_pivot_zn30,1d,target_drawdown_prob,0.0001224383304361254,0.0,0.0,0.0,0.0,186.0,124.5,0.0,0.35020242914979755
volume_profile_hvn_zn30,1d,target_drawdown_prob,0.0005196308484300971,0.0,0.0,0.0,0.0,166.0,124.5,0.0,0.36639676113360325
volume_profile_lvn_zn30,1d,target_drawdown_prob,0.0019438914023339748,0.0,0.0,0.0,0.0,108.0,124.5,0.0,0.4133603238866397
dow_sin_zn30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
dow_cos_zn30,1d,target_drawdown_prob,0.00024188612587749958,0.0,0.0,0.0,0.0,181.0,124.5,0.0,0.354251012145749
high_mm30,1d,target_drawdown_prob,0.25714319944381714,0.95,0.0,0.0,0.0,1.0,124.5,0.95,0.6900000000000001
low_mm30,1d,target_drawdown_prob,0.011044126935303211,0.0,0.0,0.0,0.0,14.0,124.5,0.0,0.4894736842105264
ma5_mm30,1d,target_drawdown_prob,0.003714934689924121,0.0,0.0,0.0,0.0,55.0,124.5,0.0,0.4562753036437247
ma20_mm30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
boll_upper_mm30,1d,target_drawdown_prob,0.0015807646559551358,0.0,0.0,0.0,0.0,120.0,124.5,0.0,0.4036437246963563
boll_lower_mm30,1d,target_drawdown_prob,0.0,0.05,0.0,0.0,0.0,218.5,124.5,0.05,0.3338866396761134
support_level_20_mm30,1d,target_drawdown_prob,0.011302649974822998,0.0,0.0,0.0,0.0,13.0,124.5,0.0,0.4902834008097166
resistance_level_20_mm30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
distance_to_support_mm30,1d,target_drawdown_prob,0.01249993871897459,0.0,0.0,0.0,0.0,11.0,124.5,0.0,0.49190283400809715
distance_to_resistance_mm30,1d,target_drawdown_prob,0.0013197367079555988,0.0,0.0,0.0,0.0,134.0,124.5,0.0,0.39230769230769236
volume_mm30,1d,target_drawdown_prob,0.0003073680854868144,0.0,0.0,0.0,0.0,176.0,124.5,0.0,0.3582995951417004
vol_ma_mm30,1d,target_drawdown_prob,0.004877892322838306,0.0,0.0,0.0,0.0,42.0,124.5,0.0,0.4668016194331984
volume_relative_20_mm30,1d,target_drawdown_prob,0.001445399597287178,0.0,0.0,0.0,0.0,128.0,124.5,0.0,0.397165991902834
obv_mm30,1d,target_drawdown_prob,0.0024103280156850815,0.0,0.0,0.0,0.0,97.0,124.5,0.0,0.42226720647773275
amplitude_range_mm30,1d,target_drawdown_prob,0.003106453223153949,0.0,0.0,0.0,0.0,70.0,124.5,0.0,0.44412955465587045
atr_slope_mm30,1d,target_drawdown_prob,0.009862774983048439,0.05,0.0,0.0,0.0,16.0,124.5,0.05,0.4978542510121457
cci_mm30,1d,target_drawdown_prob,0.003012862056493759,0.0,0.0,0.0,0.0,74.0,124.5,0.0,0.4408906882591094
adx_scaled_mm30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
vwap_mm30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
obv_diff1_mm30,1d,target_drawdown_prob,0.0012748822337016463,0.0,0.0,0.0,0.0,137.0,124.5,0.0,0.3898785425101215
obv_pct_mm30,1d,target_drawdown_prob,0.002552636666223407,0.0,0.0,0.0,0.0,84.0,124.5,0.0,0.43279352226720647
obv_slope_14_mm30,1d,target_drawdown_prob,0.0006278418004512787,0.0,0.0,0.0,0.0,162.0,124.5,0.0,0.3696356275303644
trend_flag_mm30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
keltner_upper_20_mm30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
keltner_lower_20_mm30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
stoch_rsi_mm30,1d,target_drawdown_prob,0.0006542560877278447,0.0,0.0,0.0,0.0,159.0,124.5,0.0,0.3720647773279352
williams_r_mm30,1d,target_drawdown_prob,8.506773883709684e-05,0.0,0.0,0.0,0.0,187.0,124.5,0.0,0.3493927125506073
ichimoku_conv_mm30,1d,target_drawdown_prob,0.00012429736671037972,0.0,0.0,0.0,0.0,185.0,124.5,0.0,0.35101214574898787
ichimoku_base_mm30,1d,target_drawdown_prob,0.00028116360772401094,0.0,0.0,0.0,0.0,179.0,124.5,0.0,0.3558704453441296
ichimoku_span_a_mm30,1d,target_drawdown_prob,0.0014846364501863718,0.0,0.0,0.0,0.0,124.0,124.5,0.0,0.4004048582995951
ichimoku_span_b_mm30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
cloud_thickness_mm30,1d,target_drawdown_prob,0.003578736912459135,0.0,0.0,0.0,0.0,60.0,124.5,0.0,0.4522267206477733
supertrend_10_3_mm30,1d,target_drawdown_prob,0.00459133880212903,0.0,0.0,0.0,0.0,46.0,124.5,0.0,0.46356275303643724
heikin_ashi_trend_mm30,1d,target_drawdown_prob,0.0029031482990831137,0.0,0.0,0.0,0.0,78.0,124.5,0.0,0.4376518218623482
ret_skew_30d_mm30,1d,target_drawdown_prob,0.004632952157407999,0.0,0.0,0.0,0.0,44.0,124.5,0.0,0.4651821862348179
ret_kurt_30d_mm30,1d,target_drawdown_prob,0.0009722295217216015,0.0,0.0,0.0,0.0,144.0,124.5,0.0,0.38421052631578945
var_95_30d_mm30,1d,target_drawdown_prob,0.00029162937426008284,0.0,0.0,0.0,0.0,178.0,124.5,0.0,0.35668016194331986
cvar_95_30d_mm30,1d,target_drawdown_prob,0.0010371768148615956,0.0,0.0,0.0,0.0,141.0,124.5,0.0,0.3866396761133603
z_score_gap_mm30,1d,target_drawdown_prob,0.005666493438184261,0.0,0.0,0.0,0.0,35.0,124.5,0.0,0.4724696356275304
engulfing_up_cnt_20_mm30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
doji_ratio_20_mm30,1d,target_drawdown_prob,0.00034948092070408165,0.0,0.0,0.0,0.0,174.0,124.5,0.0,0.35991902834008094
hammer_cnt_20_mm30,1d,target_drawdown_prob,0.0003723902627825737,0.0,0.0,0.0,0.0,171.0,124.5,0.0,0.3623481781376518
mfi_mm30,1d,target_drawdown_prob,0.000706125923898071,0.0,0.0,0.0,0.0,158.0,124.5,0.0,0.3728744939271255
cmf_mm30,1d,target_drawdown_prob,0.0030868416652083397,0.0,0.0,0.0,0.0,72.0,124.5,0.0,0.4425101214574899
price_volume_corr_20_mm30,1d,target_drawdown_prob,0.00014484681014437228,0.0,0.0,0.0,0.0,184.0,124.5,0.0,0.35182186234817814
price_position_ma200_mm30,1d,target_drawdown_prob,0.000925111526157707,0.0,0.0,0.0,0.0,146.0,124.5,0.0,0.3825910931174089
beta_btc_60d_mm30,1d,target_drawdown_prob,0.00042330080759711564,0.0,0.0,0.0,0.0,169.0,124.5,0.0,0.3639676113360324
distance_to_pivot_mm30,1d,target_drawdown_prob,0.002449858235195279,0.0,0.0,0.0,0.0,94.0,124.5,0.0,0.4246963562753036
volume_profile_hvn_mm30,1d,target_drawdown_prob,0.00260420935228467,0.0,0.0,0.0,0.0,83.0,124.5,0.0,0.4336032388663968
volume_profile_lvn_mm30,1d,target_drawdown_prob,0.0009899433935061097,0.0,0.0,0.0,0.0,142.0,124.5,0.0,0.38582995951417004
hour_sin_mm30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
hour_cos_mm30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
dow_sin_mm30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
dow_cos_mm30,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
_orig_idx,1d,target_drawdown_prob,0.0023292582482099533,0.0,0.0,0.0,0.0,99.0,124.5,0.0,0.4206477732793522
rolling_volatility,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
ewmavolatility,1d,target_drawdown_prob,0.002497199922800064,0.0,0.0,0.0,0.0,88.0,124.5,0.0,0.42955465587044533
return_skewness,1d,target_drawdown_prob,0.0024814519565552473,0.0,0.0,0.0,0.0,89.0,124.5,0.0,0.4287449392712551
tail_bias_norm,1d,target_drawdown_prob,0.006054266821593046,0.0,0.0,0.0,0.0,30.0,124.5,0.0,0.4765182186234818
logreturn_pct_rank,1d,target_drawdown_prob,0.0040010265074670315,0.0,0.0,0.0,0.0,53.0,124.5,0.0,0.4578947368421053
target_vol_jump_prob,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
target_realized_vol,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
target_breakout_prob,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
oi_mean_oc,1d,target_drawdown_prob,7.336820272030309e-05,0.0,0.0,0.0,0.0,188.0,124.5,0.0,0.348582995951417
oi_mean_oc_z,1d,target_drawdown_prob,0.0003337033558636904,0.0,0.0,0.0,0.0,175.0,124.5,0.0,0.35910931174089067
long_percent_ls_acc_global,1d,target_drawdown_prob,0.0020608133636415005,0.0,0.0,0.0,0.0,104.0,124.5,0.0,0.41659919028340087
long_percent_ls_acc_top,1d,target_drawdown_prob,0.0025269577745348215,0.0,0.0,0.0,0.0,87.0,124.5,0.0,0.43036437246963566
long_percent_ls_pos_top,1d,target_drawdown_prob,0.0009227602859027684,0.0,0.0,0.0,0.0,147.0,124.5,0.0,0.38178137651821864
open_basis_futures_basis,1d,target_drawdown_prob,0.0014005660777911544,0.0,0.0,0.0,0.0,130.0,124.5,0.0,0.39554655870445343
open_change_futures_basis,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
close_change_futures_basis,1d,target_drawdown_prob,0.0007276214309968054,0.0,0.0,0.0,0.0,155.0,124.5,0.0,0.3753036437246964
whale_index_value_whale_index,1d,target_drawdown_prob,0.003277572337538004,0.0,0.0,0.0,0.0,66.0,124.5,0.0,0.4473684210526316
taker_sell_volume_usd,1d,target_drawdown_prob,0.0006481761811301112,0.05,0.0,0.0,0.0,161.0,124.5,0.05,0.38044534412955466
