feature,reason,value
var_95_30d_zn56,coverage,0.19308558517185004
cvar_95_30d_zn56,coverage,0.19308558517185004
z_score_gap_zn56,coverage,0.19308558517185004
engulfing_up_cnt_20_zn56,coverage,0.19308558517185004
doji_ratio_20_zn56,coverage,0.19308558517185004
hammer_cnt_20_zn56,coverage,0.19308558517185004
mfi_zn56,coverage,0.19308558517185004
cmf_zn56,coverage,0.19308558517185004
price_volume_corr_20_zn56,coverage,0.19308558517185004
price_position_ma200_zn56,coverage,0.19308558517185004
beta_btc_60d_zn56,coverage,0.19308558517185004
pivot_point_zn56,coverage,0.19308558517185004
distance_to_pivot_zn56,coverage,0.19308558517185004
volume_profile_hvn_zn56,coverage,0.19308558517185004
volume_profile_lvn_zn56,coverage,0.19308558517185004
hour_sin_zn56,coverage,0.19308558517185004
hour_cos_zn56,coverage,0.19308558517185004
dow_sin_zn56,coverage,0.19308558517185004
dow_cos_zn56,coverage,0.19308558517185004
open_mm56,coverage,0.19308558517185004
high_mm56,coverage,0.19308558517185004
low_mm56,coverage,0.19308558517185004
close_mm56,coverage,0.19308558517185004
ma5_mm56,coverage,0.19308558517185004
ma20_mm56,coverage,0.19308558517185004
boll_upper_mm56,coverage,0.19308558517185004
boll_lower_mm56,coverage,0.19308558517185004
support_level_20_mm56,coverage,0.19308558517185004
resistance_level_20_mm56,coverage,0.19308558517185004
distance_to_support_mm56,coverage,0.19308558517185004
distance_to_resistance_mm56,coverage,0.19308558517185004
volume_mm56,coverage,0.19308558517185004
vol_ma_mm56,coverage,0.19308558517185004
volume_relative_20_mm56,coverage,0.19308558517185004
obv_mm56,coverage,0.19308558517185004
atr_mm56,coverage,0.19308558517185004
amplitude_range_mm56,coverage,0.19308558517185004
atr_slope_mm56,coverage,0.19308558517185004
trendline_slope_20_mm56,coverage,0.19308558517185004
ma_diff_5_20_mm56,coverage,0.19308558517185004
cci_mm56,coverage,0.19308558517185004
adx_scaled_mm56,coverage,0.19308558517185004
vwap_mm56,coverage,0.19308558517185004
obv_diff1_mm56,coverage,0.19308558517185004
obv_pct_mm56,coverage,0.19308558517185004
obv_slope_14_mm56,coverage,0.19308558517185004
trend_flag_mm56,coverage,0.19308558517185004
range_flag_mm56,coverage,0.19308558517185004
high_vol_flag_mm56,coverage,0.19308558517185004
stress_flag_mm56,coverage,0.19308558517185004
donchian_high_20_mm56,coverage,0.19308558517185004
donchian_low_20_mm56,coverage,0.19308558517185004
keltner_upper_20_mm56,coverage,0.19308558517185004
keltner_lower_20_mm56,coverage,0.19308558517185004
squeeze_on_mm56,coverage,0.19308558517185004
ppo_mm56,coverage,0.19308558517185004
stoch_rsi_mm56,coverage,0.19308558517185004
williams_r_mm56,coverage,0.19308558517185004
tsi_mm56,coverage,0.19308558517185004
ichimoku_conv_mm56,coverage,0.19308558517185004
ichimoku_base_mm56,coverage,0.19308558517185004
ichimoku_span_a_mm56,coverage,0.19308558517185004
ichimoku_span_b_mm56,coverage,0.19308558517185004
cloud_thickness_mm56,coverage,0.19308558517185004
psar_mm56,coverage,0.19308558517185004
psar_flip_flag_mm56,coverage,0.19308558517185004
supertrend_10_3_mm56,coverage,0.19308558517185004
heikin_ashi_trend_mm56,coverage,0.19308558517185004
ret_skew_30d_mm56,coverage,0.19308558517185004
ret_kurt_30d_mm56,coverage,0.19308558517185004
var_95_30d_mm56,coverage,0.19308558517185004
cvar_95_30d_mm56,coverage,0.19308558517185004
z_score_gap_mm56,coverage,0.19308558517185004
engulfing_up_cnt_20_mm56,coverage,0.19308558517185004
doji_ratio_20_mm56,coverage,0.19308558517185004
hammer_cnt_20_mm56,coverage,0.19308558517185004
mfi_mm56,coverage,0.19308558517185004
cmf_mm56,coverage,0.19308558517185004
price_volume_corr_20_mm56,coverage,0.19308558517185004
price_position_ma200_mm56,coverage,0.19308558517185004
beta_btc_60d_mm56,coverage,0.19308558517185004
pivot_point_mm56,coverage,0.19308558517185004
distance_to_pivot_mm56,coverage,0.19308558517185004
volume_profile_hvn_mm56,coverage,0.19308558517185004
volume_profile_lvn_mm56,coverage,0.19308558517185004
hour_sin_mm56,coverage,0.19308558517185004
hour_cos_mm56,coverage,0.19308558517185004
dow_sin_mm56,coverage,0.19308558517185004
dow_cos_mm56,coverage,0.19308558517185004
open_zn30,coverage,0.02834469202931833
high_zn30,coverage,0.02834469202931833
low_zn30,coverage,0.02834469202931833
close_zn30,coverage,0.02834469202931833
ma5_zn30,coverage,0.02834469202931833
ma20_zn30,coverage,0.02834469202931833
boll_upper_zn30,coverage,0.02834469202931833
boll_lower_zn30,coverage,0.02834469202931833
support_level_20_zn30,coverage,0.02834469202931833
resistance_level_20_zn30,coverage,0.02834469202931833
distance_to_support_zn30,coverage,0.02834469202931833
distance_to_resistance_zn30,coverage,0.02834469202931833
volume_zn30,coverage,0.02834469202931833
vol_ma_zn30,coverage,0.02834469202931833
volume_relative_20_zn30,coverage,0.02834469202931833
obv_zn30,coverage,0.02834469202931833
atr_zn30,coverage,0.02834469202931833
amplitude_range_zn30,coverage,0.02834469202931833
atr_slope_zn30,coverage,0.02834469202931833
trendline_slope_20_zn30,coverage,0.02834469202931833
ma_diff_5_20_zn30,coverage,0.02834469202931833
cci_zn30,coverage,0.02834469202931833
adx_scaled_zn30,coverage,0.02834469202931833
vwap_zn30,coverage,0.02834469202931833
obv_diff1_zn30,coverage,0.02834469202931833
obv_pct_zn30,coverage,0.02834469202931833
obv_slope_14_zn30,coverage,0.02834469202931833
trend_flag_zn30,coverage,0.02834469202931833
range_flag_zn30,coverage,0.02834469202931833
high_vol_flag_zn30,coverage,0.02834469202931833
stress_flag_zn30,coverage,0.02834469202931833
donchian_high_20_zn30,coverage,0.02834469202931833
donchian_low_20_zn30,coverage,0.02834469202931833
keltner_upper_20_zn30,coverage,0.02834469202931833
keltner_lower_20_zn30,coverage,0.02834469202931833
squeeze_on_zn30,coverage,0.02834469202931833
ppo_zn30,coverage,0.02834469202931833
stoch_rsi_zn30,coverage,0.02834469202931833
williams_r_zn30,coverage,0.02834469202931833
tsi_zn30,coverage,0.02834469202931833
ichimoku_conv_zn30,coverage,0.02834469202931833
ichimoku_base_zn30,coverage,0.02834469202931833
ichimoku_span_a_zn30,coverage,0.02834469202931833
ichimoku_span_b_zn30,coverage,0.02834469202931833
cloud_thickness_zn30,coverage,0.02834469202931833
psar_zn30,coverage,0.02834469202931833
psar_flip_flag_zn30,coverage,0.02834469202931833
supertrend_10_3_zn30,coverage,0.02834469202931833
heikin_ashi_trend_zn30,coverage,0.02834469202931833
ret_skew_30d_zn30,coverage,0.02834469202931833
ret_kurt_30d_zn30,coverage,0.02834469202931833
var_95_30d_zn30,coverage,0.02834469202931833
cvar_95_30d_zn30,coverage,0.02834469202931833
z_score_gap_zn30,coverage,0.02834469202931833
engulfing_up_cnt_20_zn30,coverage,0.02834469202931833
doji_ratio_20_zn30,coverage,0.02834469202931833
hammer_cnt_20_zn30,coverage,0.02834469202931833
mfi_zn30,coverage,0.02834469202931833
cmf_zn30,coverage,0.02834469202931833
price_volume_corr_20_zn30,coverage,0.02834469202931833
price_position_ma200_zn30,coverage,0.02834469202931833
beta_btc_60d_zn30,coverage,0.02834469202931833
pivot_point_zn30,coverage,0.02834469202931833
distance_to_pivot_zn30,coverage,0.02834469202931833
volume_profile_hvn_zn30,coverage,0.02834469202931833
volume_profile_lvn_zn30,coverage,0.02834469202931833
hour_sin_zn30,coverage,0.02834469202931833
hour_cos_zn30,coverage,0.02834469202931833
dow_sin_zn30,coverage,0.02834469202931833
dow_cos_zn30,coverage,0.02834469202931833
open_mm30,coverage,0.02834469202931833
high_mm30,coverage,0.02834469202931833
low_mm30,coverage,0.02834469202931833
close_mm30,coverage,0.02834469202931833
ma5_mm30,coverage,0.02834469202931833
ma20_mm30,coverage,0.02834469202931833
boll_upper_mm30,coverage,0.02834469202931833
