feature,coverage,variance,keep,cluster_rep
donchian_low_20_zn96,0.7785697227988317,2.293379981097148,False,support_level_20_zn96
keltner_upper_20_zn96,0.7785697227988317,2.5775242896550217,False,keltner_upper_20_zn96
keltner_lower_20_zn96,0.7785697227988317,2.504165436955219,False,keltner_upper_20_zn96
squeeze_on_zn96,0.7785697227988317,1.092606699204772,True,squeeze_on_zn96
ppo_zn96,0.7785697227988317,1.6770330887059013,True,ppo_zn96
stoch_rsi_zn96,0.7785697227988317,1.0327051345474727,False,stoch_rsi
williams_r_zn96,0.7785697227988317,1.104627629433946,True,williams_r_zn96
tsi_zn96,0.7785697227988317,1.5922240910066976,False,ppo_zn96
ichimoku_conv_zn96,0.7785697227988317,2.280253545473302,False,ichimoku_conv_zn96
ichimoku_base_zn96,0.7785697227988317,2.4927459952928857,True,ichimoku_base_zn96
ichimoku_span_a_zn96,0.7785697227988317,2.4650765677509425,True,ichimoku_span_a_zn96
ichimoku_span_b_zn96,0.7785697227988317,2.651378661363629,True,ichimoku_span_b_zn96
cloud_thickness_zn96,0.7785697227988317,1.793734863703489,True,cloud_thickness_zn96
psar_zn96,0.7785697227988317,1.8563835407776164,True,psar_zn96
psar_flip_flag_zn96,0.7785697227988317,0.5181004337070829,True,psar_flip_flag_zn96
supertrend_10_3_zn96,0.7785697227988317,2.0352647199035823,True,supertrend_10_3_zn96
heikin_ashi_trend_zn96,0.7785697227988317,1.1127289451098545,True,heikin_ashi_trend_zn96
ret_skew_30d_zn96,0.7785697227988317,1.5995998896248131,True,ret_skew_30d_zn96
ret_kurt_30d_zn96,0.7785697227988317,1.6370503497912756,True,ret_kurt_30d_zn96
var_95_30d_zn96,0.7785697227988317,1.7965637365287845,True,var_95_30d_zn96
cvar_95_30d_zn96,0.7785697227988317,1.8344255810459233,True,cvar_95_30d_zn96
z_score_gap_zn96,0.7785697227988317,1.0235220103096418,True,z_score_gap_zn96
engulfing_up_cnt_20_zn96,0.7785697227988317,1.353695881730242,True,engulfing_up_cnt_20_zn96
doji_ratio_20_zn96,0.7785697227988317,1.3744101908819597,True,doji_ratio_20_zn96
hammer_cnt_20_zn96,0.7785697227988317,1.346772951013891,True,hammer_cnt_20_zn96
mfi_zn96,0.7785697227988317,1.2260877984343053,True,mfi_zn96
cmf_zn96,0.7785697227988317,1.294691484878742,True,cmf_zn96
price_volume_corr_20_zn96,0.7785697227988317,1.3825899477716503,True,price_volume_corr_20_zn96
price_position_ma200_zn96,0.7785697227988317,2.11212590867865,True,price_position_ma200_zn96
beta_btc_60d_zn96,0.7785697227988317,2.1333336727905703,True,beta_btc_60d_zn96
pivot_point_zn96,0.7785697227988317,2.1568528550041584,False,ichimoku_conv_zn96
distance_to_pivot_zn96,0.7785697227988317,1.0818561641005708,True,distance_to_pivot_zn96
volume_profile_hvn_zn96,0.7785697227988317,1.7738381746534266,True,volume_profile_hvn_zn96
volume_profile_lvn_zn96,0.7785697227988317,1.585326789740441,True,volume_profile_lvn_zn96
hour_sin_zn96,0.7785697227988317,0.9896110416305587,False,hour_sin
hour_cos_zn96,0.7785697227988317,0.9895643431386186,False,hour_cos
dow_sin_zn96,0.7785697227988317,2.384028224988202,True,dow_sin_zn96
dow_cos_zn96,0.7785697227988317,2.3895076093485623,True,dow_cos_zn96
open_mm96,0.7785697227988317,0.09984780564466536,False,ma5_mm96
high_mm96,0.7785697227988317,0.10233263991706468,False,ma5_mm96
low_mm96,0.7785697227988317,0.09534826465715805,False,ma5_mm96
close_mm96,0.7785697227988317,0.09985504630779068,False,ma5_mm96
ma5_mm96,0.7785697227988317,0.12388468097867873,True,ma5_mm96
ma20_mm96,0.7785697227988317,0.15671367035942033,False,ma20_mm96
boll_upper_mm96,0.7785697227988317,0.13803609579039616,False,boll_upper_mm96
boll_lower_mm96,0.7785697227988317,0.13351913944200014,False,boll_lower_mm96
support_level_20_mm96,0.7785697227988317,0.14820763261419362,True,support_level_20_mm96
resistance_level_20_mm96,0.7785697227988317,0.15459976726761993,True,resistance_level_20_mm96
