feature,target,metric,value,window_start,window_end
trend_flag_diff1,target_logreturn,ic,0.009977321858432135,2024-07-23 01:00:00,2025-06-11 00:00:00
trend_flag_slope_24h,target_logreturn,ic,0.006907413880685099,2024-07-23 01:00:00,2025-06-11 00:00:00
range_flag_diff1,target_logreturn,ic,-0.002017163450707851,2024-07-23 01:00:00,2025-06-11 00:00:00
range_flag_slope_24h,target_logreturn,ic,0.0010576440825958364,2024-07-23 01:00:00,2025-06-11 00:00:00
ppo_diff1,target_logreturn,ic,-0.015590862077966039,2024-07-23 01:00:00,2025-06-11 00:00:00
ppo_slope_24h,target_logreturn,ic,-0.02808009389925185,2024-07-23 01:00:00,2025-06-11 00:00:00
stoch_rsi_diff1,target_logreturn,ic,0.009239513308075951,2024-07-23 01:00:00,2025-06-11 00:00:00
stoch_rsi_slope_24h,target_logreturn,ic,0.005192240173624398,2024-07-23 01:00:00,2025-06-11 00:00:00
psar_diff1,target_logreturn,ic,-0.005558335184811879,2024-07-23 01:00:00,2025-06-11 00:00:00
psar_slope_24h,target_logreturn,ic,-0.004404728121902873,2024-07-23 01:00:00,2025-06-11 00:00:00
ret_skew_30d_diff1,target_logreturn,ic,-0.0013159314352763425,2024-07-23 01:00:00,2025-06-11 00:00:00
ret_skew_30d_slope_24h,target_logreturn,ic,-0.009708457355643269,2024-07-23 01:00:00,2025-06-11 00:00:00
ret_kurt_30d_diff1,target_logreturn,ic,-0.011951526054953277,2024-07-23 01:00:00,2025-06-11 00:00:00
ret_kurt_30d_slope_24h,target_logreturn,ic,-0.0021191550875255924,2024-07-23 01:00:00,2025-06-11 00:00:00
mfi_diff1,target_logreturn,ic,-0.00501929352526578,2024-07-23 01:00:00,2025-06-11 00:00:00
mfi_slope_24h,target_logreturn,ic,-0.014064702680287755,2024-07-23 01:00:00,2025-06-11 00:00:00
price_position_ma200_diff1,target_logreturn,ic,-0.0056922641203433376,2024-07-23 01:00:00,2025-06-11 00:00:00
price_position_ma200_slope_24h,target_logreturn,ic,-0.03524181904267341,2024-07-23 01:00:00,2025-06-11 00:00:00
macd_bullish_cross,target_logreturn,ic,-0.0030958951629145525,2024-07-23 01:00:00,2025-06-11 00:00:00
rsi_overbought,target_logreturn,ic,-0.006361341653891427,2024-07-23 01:00:00,2025-06-11 00:00:00
rsi_oversold,target_logreturn,ic,0.01739706369349959,2024-07-23 01:00:00,2025-06-11 00:00:00
price_above_ma20,target_logreturn,ic,-0.028756396924143432,2024-07-23 01:00:00,2025-06-11 00:00:00
breakout_recent_high,target_logreturn,ic,-0.009825522691194813,2024-07-23 01:00:00,2025-06-11 00:00:00
